1930,1934,1938,1942,1946,1950,1954,1958,1962,1966,1970,1974,1978,1982,1986,1990,1994,1998,2002,2006,2010,2014
BEL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-
NED,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,4,-,-,2,3
SWE,-,-,4,-,-,3,-,2,-,-,-,-,-,-,-,-,3,-,-,-,-,-
KOR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-
CRO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-
YUG,4,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-
GER,-,3,-,-,-,-,1,4,-,2,3,1,-,2,2,1,-,-,2,3,3,1
USA,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HUN,-,-,2,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ESP,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
POR,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,4,-,-
POL,-,-,-,-,-,-,-,-,-,-,-,3,-,3,-,-,-,-,-,-,-,-
TCH,-,2,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-
FRA,-,-,-,-,-,-,-,3,-,-,-,-,-,4,3,-,-,1,-,2,-,-
BUL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-
ENG,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,4,-,-,-,-,-,-
CHI,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-
URU,1,-,-,-,-,1,4,-,-,-,4,-,-,-,-,-,-,-,-,-,4,-
AUT,-,4,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
URS,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-
TUR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-
ITA,-,1,1,-,-,-,-,-,-,-,2,-,4,1,-,3,2,-,-,1,-,-
ARG,2,-,-,-,-,-,-,-,-,-,-,-,1,-,1,2,-,-,-,-,-,2
BRA,-,-,3,-,-,2,-,1,1,-,1,4,3,-,-,-,1,2,1,-,-,4
